_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
4421,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,20,0,3,28,NO,Surface Parking,YES,EASTMONT INVESTMENTS,PRIVATE,4155116,NO,NO,NO,7  GREENTREE CRT ,NO,UNAVAILABLE,5,DOUBLE PANE,1953,2017
4422,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,5,0,3,15,YES,"Ground Level Garage , Surface Parking",NO,985352 ONTARIO LTD,PRIVATE,4155120,NO,YES,NO,1197  WESTON RD ,NO,UNAVAILABLE,5,DOUBLE PANE,1958,2017
4423,NONE,Child play area,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,NO,NO,0,4,0,3,11,YES,Surface Parking,NO,2192443 ONTARIO INC,PRIVATE,4155126,NO,NO,NO,1306  WESTON RD ,NO,UNAVAILABLE,5,DOUBLE PANE,1957,2017
4424,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,21,0,3,21,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155140,NO,NO,NO,1848  JANE ST ,NO,UNAVAILABLE,5,DOUBLE PANE,1960,2017
4425,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,9,0,3,11,YES,Surface Parking,YES,,PRIVATE,4155143,NO,NO,NO,133  WOODWARD AVE ,NO,UNAVAILABLE,5,SINGLE PANE,1954,2017
4426,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1,2,0,4,30,YES,Surface Parking,YES,TCH,TCHC,4155630,NO,NO,NO,4  REPLIN RD ,YES,PAID,8,DOUBLE PANE,1957,2017
4427,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1,3,0,3,31,YES,Surface Parking,YES,TCH,TCHC,4155639,NO,NO,NO,22  VARNA DR ,YES,PAID,8,DOUBLE PANE,1957,2017
4428,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,3,0,3,31,YES,Surface Parking,YES,TCH,TCHC,4155640,NO,NO,NO,20  VARNA DR ,YES,PAID,8,DOUBLE PANE,1957,2017
4429,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,3,2,7,81,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TCH,TCHC,4155650,NO,NO,NO,51  PARKWOODS VILLAGE DR ,YES,PAID,16,DOUBLE PANE,1962,2017
4430,NONE,"Outdoor rec facilities , Child play area",YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,12,159,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,1597180 ONTARIO INC,PRIVATE,4152810,NO,YES,NO,421  MARKHAM RD ,YES,BOTH,24,DOUBLE PANE,1969,2017
4431,INDIVIDUAL UNITS,"Indoor recreation room , Child play area",NO,YES,30 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,YES,7,6,4,5,112,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4152811,NO,YES,NO,450 B  SCARBOROUGH GOLF CLUB RD ,YES,BOTH,24,DOUBLE PANE,1991,2017
4432,NONE,Child play area,YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1,0,2,10,136,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152814,NO,YES,NO,20  GREENCREST CRCT ,YES,PAID,24,DOUBLE PANE,1970,2017
4433,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,2,7,90,NO,"Underground Garage , Ground Level Garage",YES,RANEE MANAGEMENT,PRIVATE,4152820,NO,NO,NO,3801  LAWRENCE AVE E,YES,FREE,24,SINGLE PANE,1964,2017
4434,NONE,,YES,YES,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,1,3,15,210,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4152825,NO,YES,NO,10  TUXEDO CRT ,YES,PAID,24,DOUBLE PANE,1968,2017
4435,NONE,,YES,YES,8 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,38,11,1,7,38,NO,Underground Garage,YES,GREENWIN INC.,PRIVATE,4153721,NO,YES,NO,700  KINGSTON RD ,YES,UNAVAILABLE,19,SINGLE PANE,1971,2017
4436,NONE,Indoor recreation room,NO,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1,3,1,5,38,YES,Surface Parking,YES,,TCHC,4153723,NO,NO,NO,2287  GERRARD ST E,YES,PAID,19,DOUBLE PANE,1967,2017
4437,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1,2,0,4,16,YES,Surface Parking,NO,TCH,TCHC,4153724,NO,NO,NO,2390  GERRARD ST E,YES,PAID,19,DOUBLE PANE,1991,2017
4438,NONE,,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,36,NO,"Underground Garage , Garage accessible thru buildg",YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4153734,NO,YES,NO,10  LAMPORT AVE ,YES,UNAVAILABLE,11,DOUBLE PANE,1969,2017
4439,NONE,,YES,NO,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,61,YES,"Ground Level Garage , Surface Parking",YES,ESBIN PROPERTY MANAGEMENT INC.,PRIVATE,4153736,NO,NO,NO,83  ELM AVE ,YES,UNAVAILABLE,11,DOUBLE PANE,1950,2017
4440,NONE,,YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,1,4,34,YES,"Underground Garage , Surface Parking",YES,,PRIVATE,4153739,NO,YES,NO,4  SHERBOURNE ST N,YES,FREE,11,DOUBLE PANE,1950,2017
4441,CENTRAL AIR,"Outdoor pool , Outdoor rec facilities , Indoor exercise room",YES,NO,50 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0,2,3,32,163,NO,Ground Level Garage,YES,YONGE PLEASANT HOLDINGS LTD.,PRIVATE,4153746,NO,NO,NO,40  PLEASANT BLVD ,YES,UNAVAILABLE,12,DOUBLE PANE,1969,2017
4442,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,6,2,10,167,YES,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,,TCHC,4153753,NO,NO,NO,71  MERTON ST ,YES,BOTH,12,DOUBLE PANE,1980,2017
4443,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,40,1,6,42,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154284,NO,YES,NO,35  GULLIVER RD ,NO,FREE,5,DOUBLE PANE,1967,2017
4444,NONE,,NO,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,10,0,3,11,NO,"Ground Level Garage , Carport , Surface Parking , Parking Deck",YES,MPM INC.,PRIVATE,4154302,NO,YES,NO,2  ARROWSMITH AVE ,NO,UNAVAILABLE,5,DOUBLE PANE,1960,2017
4445,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,15,0,3,11,NO,Surface Parking,NO,,PRIVATE,4154303,NO,YES,NO,16  ARROWSMITH AVE ,NO,FREE,5,DOUBLE PANE,1953,2018
4446,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,67,2,10,63,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4155157,NO,NO,NO,29  CHURCH ST ,YES,FREE,5,SINGLE PANE,1963,2017
4447,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,2,3,9,188,NO,"Underground Garage , Garage accessible thru buildg",NO,WOOLNER HOLDINGS INC,PRIVATE,4155177,NO,YES,NO,210  WOOLNER AVE ,YES,FREE,5,DOUBLE PANE,1968,2017
4448,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,1,2,12,93,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155182,NO,YES,NO,797  JANE ST ,YES,FREE,5,SINGLE PANE,1970,2017
4449,CENTRAL AIR,,NO,YES,15 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,YES,1,10,2,4,53,YES,"Underground Garage , Garage accessible thru buildg , Carport",NO,,SOCIAL HOUSING,4156140,NO,YES,NO,45  CUMMER AVE ,YES,FREE,18,DOUBLE PANE,1996,2017
4450,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,11,0,3,18,YES,Surface Parking,YES,,PRIVATE,4152569,NO,NO,NO,1711  KINGSTON RD ,NO,UNAVAILABLE,20,DOUBLE PANE,1960,2017
4451,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,36,YES,"Surface Parking , Parking Deck",YES,AKELIUS CANADA LTD,PRIVATE,4152575,NO,YES,NO,1420  KINGSTON RD ,YES,UNAVAILABLE,20,DOUBLE PANE,1955,2018
4452,NONE,,NO,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,0,0,3,11,YES,Ground Level Garage,NO,,PRIVATE,4152579,NO,NO,NO,23  GLEN EVEREST RD ,NO,FREE,20,DOUBLE PANE,1971,2017
4453,NONE,,NO,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,0,0,3,11,YES,Ground Level Garage,NO,,PRIVATE,4152580,NO,NO,NO,27  GLEN EVEREST RD ,NO,FREE,20,DOUBLE PANE,1971,2017
4454,NONE,,NO,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,0,0,3,22,YES,Ground Level Garage,YES,,PRIVATE,4152581,NO,NO,NO,31-33  GLEN EVEREST RD ,NO,FREE,20,DOUBLE PANE,1971,2017
4455,NONE,,YES,YES,36 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,2,2,2,10,117,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,SIGNET GROUP INC,PRIVATE,4152586,NO,YES,NO,2570  KINGSTON RD ,YES,FREE,20,DOUBLE PANE,1968,2017
4456,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,3,16,216,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4152828,NO,NO,NO,40  TUXEDO CRT ,YES,FREE,24,DOUBLE PANE,1970,2017
4457,NONE,"Outdoor pool , Child play area",YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,13,165,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152833,NO,NO,NO,750  MORNINGSIDE AVE ,YES,FREE,24,DOUBLE PANE,1973,2017
4458,NONE,Child play area,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,3,16,264,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,MORNELLE COURT APARTMENTS,PRIVATE,4152835,NO,NO,NO,70  MORNELLE CRT ,YES,FREE,24,DOUBLE PANE,1976,2017
4459,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,2,13,375,YES,Surface Parking,YES,DEL MANAGMENT,TCHC,4152839,NO,NO,NO,4175  LAWRENCE AVE E,YES,BOTH,24,SINGLE PANE,1974,2017
4460,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,2,2,9,110,YES,"Underground Garage , Surface Parking",NO,AMAZ PROPERTY MANAGEMENT,PRIVATE,4152841,NO,NO,NO,217  MORNINGSIDE AVE ,YES,FREE,25,DOUBLE PANE,1965,2017
4461,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,21,0,3,21,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154317,NO,YES,NO,2641  KEELE ST ,NO,UNAVAILABLE,5,DOUBLE PANE,1955,2017
4462,INDIVIDUAL UNITS,,YES,YES,5 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,19,8,0,3,19,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154323,NO,YES,NO,101  BROOKHAVEN DR ,NO,FREE,5,DOUBLE PANE,1965,2017
4463,CENTRAL AIR,Outdoor rec facilities,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,1,1,4,32,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154324,NO,YES,YES,1809  LAWRENCE AVE W,NO,FREE,5,DOUBLE PANE,1961,2017
4464,NONE,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,YES,Unknown,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0,10,0,3,26,NO,Surface Parking,YES,BEDFORD PROPERTIES LTD,PRIVATE,4155187,NO,YES,NO,40  LAMBTON AVE ,YES,FREE,5,SINGLE PANE,1958,2017
4465,,,NO,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,NO,,YES,,,YES,YES,0,6,0,3,12,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155190,,,,872  WESTON RD ,NO,UNAVAILABLE,5,DOUBLE PANE,1956,
4466,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,62,5,2,8,63,NO,"Underground Garage , Ground Level Garage , Carport , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4155198,NO,YES,NO,898  JANE ST ,YES,PAID,5,SINGLE PANE,1960,2017
4467,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,72,1,7,75,YES,Surface Parking,YES,GRANVIEW PROPERTY MANAGEMENT,PRIVATE,4155201,NO,NO,NO,4075  OLD DUNDAS ST ,NO,FREE,4,DOUBLE PANE,1965,2017
4468,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,21,NO,"Ground Level Garage , Surface Parking",YES,ORCHARD APARTMENTS (BLOOR) INC,PRIVATE,4155209,NO,YES,NO,2686  BLOOR ST W,NO,UNAVAILABLE,3,DOUBLE PANE,1949,2017
4469,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,2,25,2,7,76,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4155218,NO,NO,NO,256  SHELDON AVE ,YES,FREE,3,DOUBLE PANE,1982,2017
4470,NONE,"Indoor pool , Indoor exercise room , Sauna",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,NO,NO,YES,YES,NO,0,10,2,11,85,YES,"Ground Level Garage , Surface Parking",YES,CAPREIT LP,PRIVATE,4155219,NO,YES,NO,625  EVANS AVE ,YES,FREE,3,DOUBLE PANE,1967,2017
4471,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,25,NO,"Ground Level Garage , Carport , Surface Parking",NO,,PRIVATE,4155220,NO,YES,NO,618  EVANS AVE ,YES,UNAVAILABLE,3,THERMAL,1967,2017
4472,CENTRAL AIR,Indoor recreation room,YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,1,4,15,145,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4156163,NO,NO,NO,50  HOLLY ST ,YES,FREE,12,DOUBLE PANE,1967,2017
4473,NONE,Indoor recreation room,NO,NO,0 indoor parking spots and 30 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0,75,0,3,34,YES,Surface Parking,NO,DIRECT PROPERTIES INC.,PRIVATE,4156167,NO,YES,NO,92  JAMES ST ,NO,FREE,3,THERMAL,1960,2017
4474,NONE,,YES,NO, indoor parking spots and  outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,,0,4,16,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4152592,NO,YES,NO,186  DANFORTH RD ,YES,UNAVAILABLE,20,DOUBLE PANE,1962,2018
4475,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,0,3,11,NO,"Ground Level Garage , Surface Parking",YES,BENTALL KENNEDY,PRIVATE,4152621,NO,YES,NO,64  HARRIS PARK DR ,NO,UNAVAILABLE,20,DOUBLE PANE,1956,2017
4476,NONE,Child play area,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,2,3,15,196,NO,"Underground Garage , Garage accessible thru buildg",YES,PARK PROPERTY MANAGEMENT INC.,PRIVATE,4152879,NO,YES,NO,40  CARABOB CRT ,YES,PAID,22,SINGLE PANE,1974,2017
4477,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,2,8,155,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4153760,NO,NO,NO,384  MOUNT PLEASANT RD ,YES,BOTH,12,DOUBLE PANE,1993,2017
4478,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,4,48,YES,"Underground Garage , Garage accessible thru buildg",NO,IMPERRA GENERAL MANAGMENT,PRIVATE,4153764,NO,YES,NO,165  BALLIOL ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1968,2017
4479,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,14,,,,,PRIVATE,4153766,,,,25  DAVISVILLE AVE ,,,12,DOUBLE PANE,1956,
4480,NONE,,YES,NO,0 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,20,313,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,RPMS,PRIVATE,4153769,NO,YES,NO,141  DAVISVILLE AVE ,YES,BOTH,12,DOUBLE PANE,1970,2017
4481,NONE,"Outdoor pool , Indoor exercise room",YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,1,6,6,416,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,G & S REGAL MANAGEMENT LIMITED,PRIVATE,4154701,NO,YES,NO,325  BOGERT AVE ,YES,FREE,18,SINGLE PANE,1967,2017
4482,NONE,,YES,YES,0 indoor parking spots and 20 outdoor parking spots,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,170,12,2,13,170,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,CANDO APARTMENTS LTD.,PRIVATE,4154722,NO,YES,NO,6171  BATHURST ST ,YES,PAID,18,DOUBLE PANE,1960,2017
4483,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,6,60,YES,"Carport , Surface Parking",YES,IMPERRA GENERAL MANAGMENT,PRIVATE,4155223,NO,YES,NO,810  ROYAL YORK RD ,NO,FREE,3,DOUBLE PANE,1960,2017
4484,CENTRAL AIR,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,3,24,184,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,E. MANSON INVESTMENTS LIMITED,PRIVATE,4155225,YES,YES,NO,8  LOMOND DR ,YES,FREE,3,DOUBLE PANE,1973,2017
4485,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,19,0,4,22,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155229,NO,YES,NO,5  KINSDALE BLVD ,YES,FREE,3,DOUBLE PANE,1956,2017
4486,NONE,,YES,NO,3 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,2,0,4,26,NO,"Ground Level Garage , Surface Parking",YES,RONCI MANAGEMENT ,PRIVATE,4155237,NO,YES,NO,8  NEWHOLM RD ,NO,FREE,3,DOUBLE PANE,1958,2017
4487,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,13,0,4,30,YES,"Ground Level Garage , Carport , Surface Parking",NO,ROSS WILSON HOLDINGS LTD.,PRIVATE,4155240,NO,YES,NO,187  BERRY RD ,NO,FREE,3,DOUBLE PANE,1954,2017
4488,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,NO,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,45,YES,"Ground Level Garage , Surface Parking",NO,GORBAY COMPANY LIMITED,PRIVATE,4155246,NO,YES,NO,2  KINSDALE BLVD ,NO,UNAVAILABLE,3,DOUBLE PANE,1956,2017
4489,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,14,0,4,14,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155248,NO,YES,NO,140  BERRY RD ,NO,UNAVAILABLE,3,DOUBLE PANE,1940,2017
4490,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,1,1,4,26,NO,"Ground Level Garage , Surface Parking",YES,H & R PROPERTY MANAGEMENT LTD,PRIVATE,4155249,NO,YES,NO,135  STEPHEN DR ,YES,FREE,3,DOUBLE PANE,1959,2017
4491,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,5,33,NO,"Ground Level Garage , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155258,NO,NO,NO,1  CROWN HILL PL ,NO,FREE,3,SINGLE PANE,1952,2017
4492,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,6,62,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155259,NO,YES,NO,3  CROWN HILL PL ,YES,FREE,3,DOUBLE PANE,1960,2017
4493,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,0 indoor parking spots and 3 outdoor parking spots,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,9,2,2,10,150,YES,Surface Parking,YES,,SOCIAL HOUSING,4152885,NO,NO,NO,221  MILNER AVE ,YES,FREE,23,DOUBLE PANE,1982,2017
4494,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,5,0,3,12,YES,Ground Level Garage,YES,,PRIVATE,4152904,NO,YES,NO,2407  BLOOR ST W,NO,UNAVAILABLE,4,DOUBLE PANE,1920,2017
4495,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,42,NO,,YES,,PRIVATE,4152912,NO,NO,NO,117  RUNNYMEDE RD ,YES,UNAVAILABLE,4,DOUBLE PANE,1927,2017
4496,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,28,NO,Surface Parking,YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4153773,NO,YES,NO,501  MOUNT PLEASANT RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1956,2017
4497,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0,0,2,15,121,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153785,NO,YES,NO,55  BROWNLOW AVE ,YES,FREE,12,DOUBLE PANE,1964,2017
4498,NONE,,NO,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,26,NO,Underground Garage,YES,CARD CORP,PRIVATE,4153789,NO,YES,NO,75  PETMAN AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1958,2017
4499,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,44,,,,,PRIVATE,4155274,,,,22  RIVERWOOD PKWY ,,,3,DOUBLE PANE,1958,
4500,NONE,,YES,NO,Not Available,,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,,1,4,32,NO,"Ground Level Garage , Surface Parking",YES,GILINDO MARCOCCHIO LIMITED,PRIVATE,4155282,NO,YES,NO,172  BERRY RD ,YES,UNAVAILABLE,3,DOUBLE PANE,1954,
